centroid_row	centroid_col	timepoint
63.1750741839763	220.680267062315	1
62.2217514124294	485.964689265537	1
106.322340425532	100.874468085106	1
113.006435006435	63.0656370656371	1
134.177700348432	365.334494773519	1
141.237647058824	276.211764705882	1
158.966010733453	347.332737030411	1
163.026132404181	392.080139372822	1
181.155052264808	69.1080139372822	1
187.619873817035	360.38643533123	1
197.21130952381	397.239583333333	1
206.69890329013	154.11665004985	1
202.380032206119	250.020933977456	1
217.924972004479	208.491601343785	1
237.120245398773	384.565644171779	1
249.49087893864	95.0945273631841	1
259.600667408231	350.353726362625	1
261.420529801325	311.328918322296	1
290.937081659973	139.361445783133	1
288.679646017699	208.863716814159	1
325.196	213.892	1
331.394273127753	252.495594713656	1
384.725312145289	413.488081725312	1
392.755281690141	337.906690140845	1
416.283687943262	270.874113475177	1
464.777070063694	453.063694267516	1
489.363636363636	250.934782608696	1
496.700187969925	479.772556390977	1
510.458628841608	316.425531914894	1
516.904240766074	246.616963064295	1
520.308441558442	385.431818181818	1
558.139325842697	310.474157303371	1
568.261016949153	440.515254237288	1
605.583860759494	352.867088607595	1
615.583333333333	389.97695035461	1
64.3427935447969	219.051196438509	2
62.2761194029851	485.777611940299	2
69.5898876404494	7.67977528089888	2
105.302349336057	98.6833503575077	2
109.321336760925	64.452442159383	2
140.614472123369	274.330960854093	2
163.41519434629	348.093639575972	2
164.056027164686	391.460101867572	2
176.248062015504	70.5348837209302	2
186.244444444444	359.692063492063	2
195.416296296296	398.884444444444	2
196.570078740157	252.03937007874	2
204.748223350254	149.375634517766	2
228.523755656109	210.311085972851	2
237.644848484849	384.521212121212	2
249.490228013029	96.3762214983713	2
260.437781109445	348.289355322339	2
257.646153846154	297.8	2
288.633597883598	139.154761904762	2
295.295081967213	210.277049180328	2
325.159722222222	215.5	2
331.579399141631	253.326180257511	2
381.752860411899	412.659038901602	2
388.301645338208	339.08957952468	2
413.908637873754	273.68438538206	2
467.100171232877	455.632705479452	2
488.478079331942	250.146137787056	2
495.684557438795	480.726930320151	2
509.199029126214	316.133495145631	2
513.703081232493	246.652661064426	2
518.938879456706	387.938879456706	2
558.359908883827	310.749430523918	2
567.393617021277	444.313829787234	2
603.854714064915	355.020092735703	2
613.656419529837	389.837251356239	2
66.3716915995397	217.117376294591	3
61.0613496932515	486.196319018405	3
67.7526315789474	7.46842105263158	3
105.203324808184	65.2851662404092	3
106.021063189569	100.581745235707	3
140.477541371158	272.269503546099	3
139.436046511628	364.238372093023	3
165.308848080134	389.111853088481	3
173.357843137255	70.3251633986928	3
178.466895958727	357.198624247635	3
194.435364041605	401.121842496285	3
196.558778625954	252.056488549618	3
201.451476793249	144.9694092827	3
230.962877030162	214.452436194896	3
236.978535353535	384.809343434343	3
246.712418300654	96.3660130718954	3
257.211737629459	358.489067894131	3
260.723163841808	298.5	3
267.993303571429	327.200892857143	3
287.148097826087	138.271739130435	3
291.623586429725	213.219709208401	3
323.663101604278	215.370766488414	3
332.488172043011	253.630107526882	3
381.181611804767	411.635641316686	3
412.544861337684	272.846655791191	3
464.535489667565	459.528301886792	3
486.965260545906	250.203473945409	3
496.285436893204	481.263106796117	3
511.24037184595	246.208499335989	3
510.443569553806	317.916010498688	3
519.052356020942	387.068062827225	3
560.605	311.875	3
570.91833030853	445.725952813067	3
602.17731629393	356.699680511182	3
612.30035335689	392.809187279152	3
